Name,Price,Value,URL
"«Яшкино», пряники с вареной сгущенкой, 300 г","82,50 ₽",за   шт,https://kdvonline.ru/product/pryaniki-s-varenoy-sguschenkoy-34574
"«Яшкино», пряники «Имбирные», 350 г","92,50 ₽",за   шт,https://kdvonline.ru/product/pryaniki-imbirnye-29363
"«Яшкино», пряники «Классические», 350 г","85,00 ₽",за   шт,https://kdvonline.ru/product/pryaniki-klassicheskie-1185
"«Яшкино», пряники «Мятные», 350 г","82,50 ₽",за   шт,https://kdvonline.ru/product/pryaniki-myatnye-1184
"«Яшкино», пряники «Шоколадные», 350 г","97,50 ₽",за   шт,https://kdvonline.ru/product/pryaniki-shokoladnye-1183
"«Яшкино», пряники с варёной сгущёнкой, 350 г","105,00 ₽",за   шт,https://kdvonline.ru/product/pryaniki-s-varyonoy-sguschyonkoy-1187
"«Яшкино», пряники с вишнёвой начинкой, 350 г","110,00 ₽",за   шт,https://kdvonline.ru/product/pryaniki-s-vishnyovoy-nachinkoy-1186
"«Яшкино», пряники с малиновой начинкой, 300 г","92,50 ₽",за   шт,https://kdvonline.ru/product/pryaniki-s-malinovoy-nachinkoy-34573
