Name,Price,Value,URL
"«Яшкино», мини-круассаны со сливочным кремом, 180 г","87,50 ₽",за   шт,https://kdvonline.ru/product/mini-kruassany-so-slivochnym-kremom-1162
"«Яшкино», мини-круассаны с шоколадным кремом, 180 г","87,50 ₽",за   шт,https://kdvonline.ru/product/mini-kruassany-s-shokoladnym-kremom-1163
"«Яшкино», мини-круассаны с клубничным джемом, 180 г","87,50 ₽",за   шт,https://kdvonline.ru/product/mini-kruassany-s-klubnichnym-dzhemom-1161
"«Яшкино», круассан со сливочным кремом, 45 г","21,20 ₽",за   шт,https://kdvonline.ru/product/kruassan-so-slivochnym-kremom-1196
"«Яшкино», круассан с шоколадным кремом, 45 г","21,20 ₽",за   шт,https://kdvonline.ru/product/kruassan-s-shokoladnym-kremom-1197
